author	inferreddate	shorttitle	place
Whyte-Melville, G. J. (George John)	1898.0	Contraband	enk
Whyte-Melville, G. J. (George John)	1898.0	Black but comely	enk
Whyte-Melville, G. J. (George John)	1898.0	Sister Louis. Rosine	enk
Ainsworth, William Harrison	1898.0	Jack Sheppard ;	enk
Boccaccio, Giovanni	1898.0	The Decameron	enk
Fortescue, J. W. (John William), Sir	1899.0	The drummer's coat	enk
Le Gallienne, Richard	1899.0	Young lives	enk
Molesworth, Mrs	1899.0	This and that : a tale of two tinies	enk
[pseud.] Profugus, Fato	1899.0	The white olive, and other romances of the Riviera	enk
Elizabeth	1899.0	Elizabeth and her German garden	enk
King, Charles	1899.0	Found in the Philippines; : the story of a woman's letters	enk
Phillpotts, Eden	1899.0	The human boy	enk
Adams, Francis William Lauderdale	1899.0	Essays in modernity; criticisms and dialogues	enk
Courtilz de Sandras, Gatien	1899.0	The cadet.--pt	enk
Courtilz de Sandras, Gatien	1899.0	The lieutenant.--pt	enk
Courtilz de Sandras, Gatien	1899.0	The captain	enk
Jacob, P. L	1899.0	Memoirs of Cardinal Dubois	enk
Maugham, W. Somerset, (William Somerset)	1899.0	Orientations	enk
Lover, Samuel	1899.0	Treasure trove	enk
Lover, Samuel	1899.0	Further stories of Ireland	enk
Collins, William Edmund Wood	1899.0	The don and the undergraduate	stk
Dante Alighieri	1899.0	The new life (La vita nuova)	enk
Douglass, Ellsworth	1899.0	Pharaoh's broker : being the very remarkable experiences in another world of Isidor Werner (written by himself)	enk
Juan Manuel	1899.0	Count Lucanor	enk
Tuer, Andrew White	1899.0	Stories from old-fashioned children's books	enk
Jōckai, Mōr	1899.0	The poor plutocrats, a romance	enk
Nesbit, E. (Edith)	1899.0	Pussy and doggy tales	enk
Garnett, Richard	1899.0	The universal anthology; a collection of the best literature, ancient, mediæval and modern	enk
Stephen, Harry Lushington, Sir	1899.0	Lord Russell.  The Earl of Warwick.  Spencer Cowper and others [Ellis Stephens, William Rogers and John Marston] Samuel Goodere and others [Matthew Mahony and Charles White] Index	enk
Ganthony, Robert	1899.0	Random recollections	enk
Bain, F. W. (Francis William)	1899.0	A digit of the moon ... A Hindu love story tr. from the original ms	enk
Sudermann, Hermann	1899.0	Regina; or, The sins of the fathers	enk
Sienkiewicz, Henryk	1899.0	In Monte Carlo	enk
	1899.0	Panjabi sketches, by two friends	enk
Ruskin, John	1899.0	Praeterita;	enk
Lang, Andrew	1899.0	The red book of animal stories	enk
Fothergill, Jessie	1899.0	Kith and kin : a novel	enk
Henty, G. A. (George Alfred)	1899.0	The lost heir	enk
Henty, G. A. (George Alfred)	1899.0	Under Wellington's command : a tale of the Peninsular War	enk
Atherton, Gertrude Franklin Horn	1899.0	A daughter of the vine	enk
Whistler, Charles W. (Charles Watts)	1899.0	Havelok the Dane: a legend of old Grimsby and Lincoln	enk
Brontë, Charlotte	1899.0	Shirley, by Charlotte Brontë	enk
Brontë, Charlotte	1899.0	Wuthering Heights, by Emily Brontë.  Agnes Grey, by Anne Brontë	enk
Preindlsberger-Mrazović, Milena	1899.0	Selam : sketches and tales of Bosnian life	enk
Lyulph	1899.0	Shakespeare : a revelation	enk
Farrar, Frederic William	1899.0	Julian Home, a tale of college life;	enk
Winter, John Strange	1899.0	A name to conjure with; a novel	enk
Nordau, Max Simon	1899.0	The drones must die	enk
Fielding, H. (Harold)	1899.0	Thibaw's queen	enk
Lever, Charles James	1899.0	Gerald Fitzgerald, the chevalier : a novel	enk
Walker, E. O	1899.0	A romance of Ceylon	enk
Broughton, Rhoda	1899.0	A beginner	enk
Barr, Amelia Edith Huddleston	1899.0	Woven of love and glory	enk
	1899.0	Sporting adventures of Charles Carrington, Esq., and other stories	enk
Clifford, Hugh Charles, Sir	1899.0	In a corner of Asia;	enk
Boccaccio, Giovanni	1899.0	Tales from Boccaccio	enk
Maguire, Thomas Miller	1899.0	Outlines of military geography	enk
Allen, Grant	1899.0	Miss Cayley's adventures	enk
Rodway, James	1899.0	In Guiana wilds;	enk
Gr??ville, Henry	1899.0	The little Russian servant	enk
Stuart, Louisa, Lady	1899.0	Lady Louisa Stuart; selections from her manuscripts	stk
Arnold, Edwin	1899.0	The queen's justice	enk
Becke, Louis	1899.0	R?_dan the Devil and other stories	enk
Broughton, Rhoda	1899.0	Doctor Cupid : a novel	enk
Broughton, Rhoda	1899.0	The game and the candle	enk
Bullen, Frank Thomas	1899.0	Idylls of the sea and other marine sketches	enk
Leeds, Virginia Niles	1899.0	The honor of a gentleman : A novel	enk
Taylor, Una	1899.0	Early Italian love stories	enk
Baring-Gould, S. (Sabine)	1899.0	The crock of gold	enk
Mijatović, Elodie Lawton	1899.0	Serbian folk-lore	enk
Two friends	1899.0	Panjabi sketches	enk
Howard, Blanche Willis	1899.0	Vroni : the weaver's heart's dearest	enk
Smeaton, William Henry Oliphant	1899.0	A mystery of the Pacific	enk
Stephen, Harry Lushington, Sir	1899.0	State trials, political and social	enk
Montagnac, No??l de	1899.0	Negro nobodies;	enk
Aulnoy	1899.0	The ingenious and diverting letters of the Lady--travels into Spain;	enk
Bevan, Tom	1899.0	The thane of the dean	enk
Binstead, Arthur M. (Arthur Morris)	1899.0	Gal's gossip	enk
Br??mont, Anna Dunphy	1899.0	The gentleman digger	enk
Crooke, William	1899.0	The talking thrush;	enk
Ellis, Elizabeth	1899.0	An English girl's first impression of Burmah	enk
Escott, T. H. S	1899.0	A trip to Paradoxia and other humours of the hour	enk
Henty, G. A. (George Alfred)	1899.0	Won by the sword;	enk
Pangborn, Frederic Werden	1899.0	Perdida	enk
Shannon, W. F	1899.0	The mess deck	enk
Swan, Annie S	1899.0	Thankful rest	enk
	1899.0	'An Indian tale or two'	enk
Upward, Allen	1899.0	Athelstane Ford	enk
	1899.0	Yule-tide yarns	enk
Balzac, Honoré de	1899.0	Droll Stories	enk
Balzac, Honoré de	1899.0	Droll stories ; Sarrasine	enk
Dowson, Ernest Christopher	1899.0	Adrian Rome	enk
Mallock, W. H. (William Hurrell)	1899.0	The individualist	enk
Rougemont, Louis de	1899.0	The adventures of Louis de Rougemont	enk
Macleod, Fiona	1899.0	The dominion of dreams	enk
Sprigge, Samuel Squire	1899.0	Odd issues	enk
Barrett, Wilson	1899.0	The daughters of Babylon	enk
Bell, John	1899.0	In the shadow of the bush	enk
Canton, William	1899.0	The invisible playmate & W.V. her book	enk
Carleton, William	1899.0	The Black Prophet;	enk
Collingwood, W. G	1899.0	Coniston tales	enk
Fison, Lois A	1899.0	Merry Suffolk;	enk
Le Queux, William	1899.0	The veiled man	enk
Praed, Campbell, Mrs	1899.0	Madame Izan;	enk
Russell, William Clark	1899.0	The last entry	enk
Russell, William Clark	1899.0	A tale of two tunnels	enk
Smollett, T. (Tobias)	1899.0	The works of Tobias Smollett	enk
Garnett, Richard	1899.0	The universal anthology;	enk
Sheehan, Patrick Augustine	1899.0	The triumph of failure	enk
Yonge, Charlotte M. (Charlotte Mary)	1899.0	The pilgrimage of the Ben Beriah	enk
Wood, Ellen	1899.0	Adam Grainger, and other stories	enk
Crockett, S. R. (Samuel Rutherford)	1899.0	Kit Kennedy	enk
Petronius Arbiter	1899.0	The Satyricon of Petronius Arbiter, a Roman knight	enk
Blackburn, Douglas	1899.0	Prinsloo of Prinsloosdorp	enk
Coulton, G. G. (George Gordon)	1899.0	Father Rhine	enk
Pease, Howard	1899.0	Tales of Northumbria	enk
Steuart, John A. (John Alexander)	1899.0	Wine on the lees	enk
Besant, Walter, Sir	1899.0	The changling	enk
Broughton, Rhoda	1899.0	Mrs. Bligh, a novel	enk
Mathew, Frank James	1899.0	Defender of the faith	enk
Henty, G. A. (George Alfred)	1899.0	Both sides of the border;	enk
O'Sullivan, Vincent	1899.0	The green window	enk
Lamb, Charles	1899.0	The life and works of Charles Lamb, in twelve volumes	enk
Wood, Ellen	1899.0	Johnny Ludlow : series 1-6	enk
Clarke, A. W	1899.0	Jaspar Tristram : a story	enk
Slow, Edward	1899.0	Humorous West Countrie tales	enk
Harvey, William	1899.0	Scottish life and character in anecdote and story	stk
de la Nativité. Jeanne	1899.0	"The life of Armelle Nicolas : a peasant by birth, by occupation a servant commonly called ""The Good Armelle"" in her ineffable converse with God ""The Daughter of Love"""	enk
Pennypacker, Morton	1899.0	Harry's work; or, The need of the age	enk
	1899.0	The Universal anthology : a collection of the best literature, ancient mediaeval and modern, with biographical and explanatory notes	enk
Kennedy, Wardlaw	1899.0	Beasts; thumb-nail studies in pets	enk
Neish, Rosalie Galsworthy, Lady	1899.0	A world in a garden	enk
James, Henry	1899.0	The awkward age	enk
Lang, Andrew	1899.0	The book of dreams and ghosts	enk
Serviez, Jacques Roergas de	1899.0	The Roman empresses : or, the history of the lives and secret intrigues of the wives of the twelve Caesars	enk
Beck, Helen Watson	1899.0	The princess' wedding feast; or, The wind spirit of Woenfels. A romance	enk
Rose, Héloïse Durant	1899.0	A ducal skeleton [a story]	enk
Archer-Hind, R. D. (Richard Dacre)	1899.0	Cambridge compositions : Greek and Latin	xxk
Dickens, Charles	1899.0	The works of Charles Dickens	enk
pseud. Kuppord, Skelton	1899.0	The uncharted island	enk
Baxley, Claude	1899.0	Comrades	enk
Abbott, Charles T	1899.0	The cliff dweller's daughter : or, how he loved her : an Indian romance of prehistoric times	enk
L'Oiseau, Amelie	1899.0	The sins of a widow	enk
Birt, Archibald	1899.0	Castle Czvargas : a romance being a plain story of the romantic adventures of two brothers, told by the younger of them	enk
Cameron, H. Lovett, Mrs	1899.0	A passing fancy	enk
Cobb, Thomas	1899.0	The judgment of Helen	enk
Cobb, Thomas	1899.0	Mr. Passingham : an episode in his life	enk
Fitzpatrick, Thomas	1899.0	The king of Claddagh : a story of the Cromwellian occupation of Galway	enk
Dudeney, Henry, Mrs	1899.0	The maternity of Harriott Wicken	enk
Cupples, George	1899.0	A spliced yarn : some strands from the life cable of Bill Bullen	enk
Lefroy, Ella Napier	1899.0	The man's cause	enk
Locke, William John	1899.0	Idols	enk
Kipling, Rudyard	1899.0	Stalky & co	enk
Muddock, Joyce Emmerson Preston	1899.0	The records of Vincent Trill of the detective service	enk
Jepson, Edgar	1899.0	On the edge of the empire	enk
Oscar, W. N	1899.0	The cruise of the Golden Wave	enk
Brown, Vincent	1899.0	Two in captivity	enk
Harris, Henry E	1899.0	The king of Andorra	enk
Lysaght, Sidney Royse	1899.0	One of the Grenvilles	enk
Harraden, Beatrice	1899.0	An idyll of London	enk
Howard, Mabel, Lady	1899.0	The undoing of John Brewster	enk
Mitton, G. E. (Geraldine Edith)	1899.0	Fire and tow	enk
Peard, Frances Mary	1899.0	Donna Teresa	enk
Twitchell, Alice Bentley	1899.0	"The triumphs of a maid; or, ""Barbarine"""	enk
Chant, Laura Ormiston Dibbin	1899.0	Sellcuts' manager	enk
Howell, Whitfield, G	1899.0	Twin oaks	enk
Hutchinson, Horace G. (Horace Gordon)	1899.0	The book of golf and golfers	enk
	1899.0	The universal anthology; a collection of the best literature, ancient, mediaeval and modern, with biographical and explanatory notes;	enk
Walker, William Sylvester	1899.0	From the land of the Wombat	enk
Sparhawk, Frances C. (Frances Campbell)	1899.0	Fettered : a novel	enk
Saʻdī	1899.0	"The Gulistan; being the Rose-garden of Shaikh Sà'di; the first four Babs, or ""Gateways"" tr. in prose and verse"	enk
Hamsun, Knut	1899.0	Hunger	enk
Wagner, Richard	1899.0	Letters to Wesendonck et al	enk
Mérimée, Prosper	1899.0	The house of a traitor	enk
Kipling, Rudyard	1899.0	Black Jack	enk
	1899.0	Laxdæla saga	enk
Hilzinger, John George	1899.0	The skystone : a romance of prehistoric Arizona, being vol. I of the Chronicles of Mázacl	enk
Gunter, Archibald Clavering	1899.0	M. S. Bradford, special : a novel	enk
Doyle, Arthur Conan, Sir	1899.0	The man from Archangel	enk
Wood, Ellen	1899.0	Lady Grace : a novel	enk
Smith, Frederick R	1899.0	Doxie Dent : a clog-shop chronicle	enk
Defoe, Daniel	1899.0	d ed	enk
Defoe, Daniel	1899.0	Romances and narratives	enk
Reekie, Charles	1899.0	My Scottish sweetheart	enk
Norris, Frank	1899.0	Shanghaied	enk
Gallon, Tom	1899.0	The kingdom of hate : a romance	enk
Vance, Wilson J	1899.0	God's war	enk
Mendum, Bedloe	1899.0	The barbarian, and other stories	enk
Balzac, Honoré de	1899.0	Droll stories--Sarrasine--A passion in the desert--The girl with golden eyes	enk
Green, Rutger Bleecker	1899.0	The happy hearing	enk
Skram, Amalie	1899.0	Professor  Hieronimus	enk
Castle, Egerton	1899.0	Young April	enk
Thornton, Marcellus Eugene	1899.0	"My ""budie"" and I : a novel"	enk
Nazarbekean, Awetis	1899.0	Through the storm : pictures of life in Armenia	enk
Fisher, Lala Richardson	1899.0	By Creek and Gully; stories and sketches mostly of bush life. Told in prose and rhyme	enk
Sheehan, Patrick Augustine	1899.0	"The triumph of failure : a sequel to ""Geoffrey Austin, student"""	enk
Allen, Grant	1899.0	Twelve tales;	enk
Harris, Frank	1900.0	Montes the matador, and other stories	enk
Ibsen, Henrik	1900.0	When we dead awaken : a dramatic epilogue in three acts	enk
Miller, Thomas	1900.0	Gideon Giles, the roper	enk
Jefferies, Richard	1900.0	Red deer	enk
Phillpotts, Eden	1900.0	Sons of the morning	enk
Le Gallienne, Richard	1900.0	The worshipper of the image	enk
	1900.0	Official guides	enk
Reid, Mayne	1900.0	Afloat in the forest	enk
Reid, Mayne	1900.0	The quadroon; or, Adventures in the far West	enk
Anstey, F	1900.0	The brass bottle	enk
Harland, Henry	1900.0	The cardinal's snuff-box	enk
Linton, E. Lynn (Elizabeth Lynn)	1900.0	The second youth of Theodora Desanges	enk
Lloyd, John Uri	1900.0	Stringtown on the pike; a tale of northernmost Kentucky	enk
Baring-Gould, S. (Sabine)	1900.0	In a quiet village	enk
Barr, Robert	1900.0	The countess Tekla	enk
Becke, Louis	1900.0	Edward Barry	enk
Crockett, S. R. (Samuel Rutherford)	1900.0	The Stickit minister's wooing, & other Galloway stories	enk
Crane, Stephen	1900.0	Wounds in the rain	enk
Hollingshead, John	1900.0	According to my lights	enk
Belloc, Hilaire	1900.0	Lambkin's remains	enk
FitzGerald, Edward	1900.0	Miscellanies	enk
James, Henry	1900.0	The soft side	enk
Sichel, Edith Helen	1900.0	The household of the Lafayettes	enk
Wilson, Ellen M	1900.0	Sketches from life in Melanesia	enk
Hobbes, John Oliver	1900.0	Robert Orange, being a continuation of the history of Robert Orange, M. P., and a sequel to The school for saints	enk
Mallowan, M. E. L. (Max Edgar Lucien	1900.0	Fort Shalmaneser / commentary and catalogue by Georgina Herrmann -- fasc	enk
Blyton, Enid	1900.0	The eleventh holiday book	enk
Swettenham, Frank Athelstane, Sir	1900.0	The real Malay;	enk
Cervantes Saavedra, Miguel de	1900.0	A story of two damsels -- The Lady Cornelia -- The jealous husband	enk
Cervantes Saavedra, Miguel de	1900.0	The liberal lover -- The force of blood -- The Spanish lady	enk
Defoe, Daniel	1900.0	Robinson Crusoe	enk
Weedon, L. L	1900.0	The pets' panorama	enk
Golschmann, Léon	1900.0	Boy Crusoes : a story of the Siberian forest, adapted from the Russian [of Mme. Katchoulcoff]	enk
Swift, Jonathan	1900.0	Gulliver in Liliput	enk
Swift, Jonathan	1900.0	Gulliver in giantland	enk
Ballantyne, R. M. (Robert Michael)	1900.0	The dog Crusoe	enk
	1900.0	Some specimens of the Roman, Oriental, and foreign types now in use in the offices of William Clowes & sons, limited	enk
Balzac, Honoré de	1900.0	Ten droll tales, being the story of The fair Imperia, The venial sin, The merrie diversions of His Most Christian Majesty King Louis the Eleventh, together with certain other quaint and piquant histories making up the first decade of the Droll tales of Master Honoré de Balzac	enk
Daudet, Alphonse	1900.0	Sidonie's revenge	enk
Flaubert, Gustave	1900.0	Madame Bovary, a story of provincial life	enk
Sienkiewicz, Henryk	1900.0	In the new promised land; a novel	enk
Rouse, W. H. D. (William Henry Denham)	1900.0	The giant crab and other tales from old India	enk
Sister. Katherine	1900.0	Towards the land of the rising sun : or Four years in Burma	enk
Becke, Louis	1900.0	The adventures of Louis Blake	enk
de Voragine, Jacobus	1900.0	The golden legend, or, Lives of the saints	enk
Eliot, George	1900.0	Adam Bede in two volumes	enk
Eliot, George	1900.0	Romola. bk. i-iii	enk
Eliot, George	1900.0	Mill on the floss in two volumes	enk
Pater, Walter	1900.0	Marius the Epicurean	enk
Zola, Émile	1900.0	Germinal : or, Master and man	enk
Israëls, Jozef	1900.0	Spain : the story of a journey	enk
Henty, G. A. (George Alfred)	1900.0	Do your duty :	enk
Henty, G. A. (George Alfred)	1900.0	No surrender!	enk
Henty, G. A. (George Alfred)	1900.0	A roving commission, or, Through the black insurrection of Hayti	enk
Henty, G. A. (George Alfred)	1900.0	Won by the sword : a tale of the Thirty Years' War	enk
Barr, Amelia Edith Huddleston	1900.0	Cecilia's lovers	enk
Stables, Gordon	1900.0	The island of gold : a sailor's yarn	enk
MacDonald, George	1900.0	Cross purposes	enk
Roberts, Morley	1900.0	Lord Linlithgow : a novel	enk
Rodziewicz?_wna, Maria	1900.0	Anima vilis	enk
Braddon, M. E. (Mary Elizabeth)	1900.0	The infidel	enk
Marryat, Mrs. Frederick Townshend	1900.0	Mummer mystic plays	enk
Belloc, Hilaire	1900.0	The four men: a farrago	enk
Wiggin, Kate Douglas Smith	1900.0	Penelope's experiences in Scotland;	enk
Henty, G. A. (George Alfred)	1900.0	With Buller in Natal : or, A born leader	enk
Allen, Grant	1900.0	Twelve tales; with a headpiece, a tailpiece, and an intermezzo: being select stories	enk
Maugham, W. Somerset, (William Somerset)	1900.0	The round dozen	enk
Child, Frank Samuel	1900.0	Friend or foe;	enk
Hallifax, Sydney	1900.0	Annals of a doss house	enk
Ollivant, Alfred	1900.0	Owd Bob : the grey dog of Kenmuir	enk
	1900.0	Kruger's secret service, by one who was in it	enk
Gautier, Judith	1900.0	The daughter of heaven	enk
Zola, Émile	1900.0	Fruitfulness	enk
Spenser, Edmund	1900.0	Stories from the Faerie queene	enk
Broughton, Rhoda	1900.0	Foes in law	enk
Boldrewood, Rolf	1900.0	Babes in the bush	enk
	1900.0	A Century of humour	enk
Turgenev, Ivan Sergi︠e︡evích	1900.0	A house of gentlefolk : a novel	enk
Turgenev, Ivan Sergi︠e︡evích	1900.0	Rudin	enk
Finley, Martha	1900.0	Elsie's motherhood : a sequel to Elsie's womanhood	enk
Fernald, Chester Bailey	1900.0	Chinatown stories	enk
Oakley, G. R. (George Robert)	1900.0	In olden days : Lancashire legends : Rochdale and neighbourhood	enk
	1900.0	"The Pin in the Queen's shawl : sketched in Indian ink on ""Imperial Crown"" : from a conservative stand-point"	enk
Cunninghame Graham, R. B. (Robert Bontine)	1900.0	Thirteen stories	enk
	1900.0	Soldiers' stories and sailors' yarns	enk
Balzac, Honoré de	1900.0	Ten droll tales ... : making up the first decade of the Droll Tales of Master Honoré de Balzac	enk
Brereton, F. S. (Frederick Sadlier)	1900.0	King of Ranleigh : a school story	enk
Bryden, H. A	1900.0	From Veldt camp fires	enk
Carter, Harry	1900.0	The autobiography of a Cornish smuggler	enk
Caven, Stewart	1900.0	The green enigma	enk
Chambers, Robert W. (Robert William)	1900.0	Special messenger	enk
Collins, Dale	1900.0	The happy emigrants	enk
Collins, Dale	1900.0	Winds of chance	enk
Crompton, Richmal	1900.0	Naomi godstone	enk
Crompton, Richmal	1900.0	William	enk
Dorling, H. Taprell (Henry Taprell)	1900.0	The boy castaways ; or, Endeavour Island	enk
Eady, K. M	1900.0	Adventurers all : a tale of the Philippine Islands in war time	enk
Fairley, Helen M	1900.0	Kali's jewels	enk
Fenn, George Manville	1900.0	Old gold	enk
Fisher, Alfred Hugh	1900.0	Quix : a novel	enk
Fordyce, W. Dingwall	1900.0	The gun-runners	enk
Foskett, S. (Samuel)	1900.0	The temple in the tope	enk
Frame, Hugh Fulton	1900.0	The ivory idol	enk
Goldman, R. L	1900.0	Death plays solitaire	enk
Gould, Nat	1900.0	The runaways : a new and original story	enk
Graydon, William Murray	1900.0	The jungle trappers : a tale of the Indian jungle	enk
Grimshaw, Roland	1900.0	Indian whirlpools : a tale of modern India	enk
Hales, A. G. (Alfred Greenwood)	1900.0	Golden gorse	enk
Hales, A. G. (Alfred Greenwood)	1900.0	McGlusky : the trail blazer	enk
Haverfield, E. L. (Eleanor Luisa)	1900.0	Queensland cousins	enk
Hely-Hutchinson, M	1900.0	Monica Grey	enk
John, Michael	1900.0	The heir of the Malik	enk
Judd, Alfred	1900.0	In quest of peril : being the thrilling adventures of Major Brand, his son Dick, and trusty Tim O'Flannel in all parts of the world	enk
	1900.0	The killing of a vocation	enk
Lockwood, Vere	1900.0	Ramazan, the Rajah	enk
London, Jack	1900.0	A son of the sun	enk
Lucas, E. V. (Edward Verrall)	1900.0	Domesticities	enk
Marchant, Bessie	1900.0	Cicely Frome, the captain's daughter	stk
Margrave, Phyllis	1900.0	Fickle wheel : a novel	enk
Meade, Dorothy Cole	1900.0	The shadow of a hair	enk
Musgrove, Charles D	1900.0	The glowing fire	enk
Norway, G. (George)	1900.0	Ralph Denham's adventures in Burma : a tale of the Burmese jungle	enk
Orme, Eve	1900.0	Dual reflection	enk
Parker, Gilbert, Sir	1900.0	The lane that had no turning	enk
Peard, Frances Mary	1900.0	Prentice Hugh	enk
Pratt, Ambrose	1900.0	The counterstroke	enk
Pratt, Ambrose	1900.0	King of the rocks	enk
Reed, Talbot Baines	1900.0	The Willoughby captains	enk
Rees, Rosemary	1900.0	Sing a song of Sydney, a novel	enk
Roberts, Morley	1900.0	The plunderers	enk
Scott, G. Firth	1900.0	Colonial born	enk
Scott, Stanley	1900.0	Tales of bohemia, taverns, and the underworld	enk
Sousa, L. de	1900.0	Huns in Palestine	enk
Swan, Annie S	1900.0	Warner's chase : or, The gentle heart	enk
Watkin, May	1900.0	A spray of Wattle-blossom : Australian stories	enk
Wharton, Edith	1900.0	A gift from the grave	enk
Woods, Margaret L. (Margaret Louisa)	1900.0	A village tragedy	enk
Blackledge, W. J. (William James)	1900.0	The legion of marching madmen	enk
Collingwood, Harry, 1851-1922	1900.0	Dick Leslie's luck : a story of shipwreck and adventure	enk
Collins, Wilkie	1900.0	Hide and seek ; or, The mystery of Mary Grice	enk
Dymow, Ossip	1900.0	The flight from the cross	enk
Erckmann, Émile	1900.0	Citizen Bonaparte, 1794-1815 : the story of a peasant	enk
Fischer, Max	1900.0	Estelle	enk
France, Anatole	1900.0	Jocasta and The famished cat	enk
Galinska, Marya	1900.0	Hours spent in prison, by Gorky, Andreyeff and Korolenko	enk
Johnston, Mary	1900.0	By order of the company	enk
Knights, D.A	1900.0	Aicha, the Mauresque : an Algerian fantasy	enk
	1900.0	Old stories and sayings of the continent of Africa	enk
Street, G. S. (George Slythe)	1900.0	The trials of the Bantocks	enk
Strong, L. A. G. (Leonard Alfred George)	1900.0	Patricia comes home	enk
Sullivan, James Frank	1900.0	Queer side stories	enk
Watson, H. B. Marriott	1900.0	The rebel	enk
Marsh, Richard	1900.0	Marvels and mysteries	enk
A. L. O. E	1900.0	The haunted room	enk
A. L. O. E	1900.0	The Spanish cavalier	enk
A. L. O. E	1900.0	Stories of the wars of the Jews	enk
Alcock, Deborah	1900.0	Under the Southern Cross	enk
Canton, William	1900.0	Children's sayings	enk
Carey, Rosa Nouchette	1900.0	Cousin Mona	enk
Cooke, Arthur O. (Arthur Owens)	1900.0	Stephen goes to sea	enk
Dyan, Meg	1900.0	The hazard of concealing, or, All in a man's keeping	enk
Foskett, Edward	1900.0	Hugh Trebarwith, a Cornish romance	enk
Gould, Nat	1900.0	The second string	enk
Hennessey, David	1900.0	The Caves of Shend	enk
Henty, G. A. (George Alfred)	1900.0	Bears and dacoits	enk
	1900.0	Heristal's wife	enk
Hocking, Silas K. (Silas Kitto)	1900.0	For such is life	enk
Holyoake, George Jacob	1900.0	Sixty years of an agitator's life	enk
Hume, Fergus	1900.0	A son of perdition : an occult romance	enk
Hume, Fergus	1900.0	A woman's burden;	enk
Hunt, Ellen C	1900.0	Cyril the Deacon	enk
Oxley, James MacDonald	1900.0	The specimen hunters	enk
Pollard, Eliza Frances	1900.0	The white dove of Amritzir : a romance of Anglo-Indian life	enk
Ponder, S. E. G. (Stephen Einar Gilbert)	1900.0	The waters of Chastisement	enk
Powell, Sydney Walter	1900.0	Noah's ark : a novel	enk
Reid, Mayne	1900.0	The cliff climbers	enk
Walsh, J. M. (James Morgan)	1900.0	Golden harvest	enk
West, Julian	1900.0	My afterdream	enk
	1900.0	The International library of famous literature	enk
Kaisenberg, Moritz Leopold Ludolf von	1900.0	The memoirs of the Baroness Cecile de Courtot	enk
Moore, Frank Frankfort	1900.0	"The fate of the ""Black Swan"" : a tale of New Guinea"	enk
Roebuck, M. F. C	1900.0	Nyitso : a novel of West Africa	enk
Wodehouse, P. G., (Pelham Grenville)	1900.0	The heart of a goof / by P. G. Wodehouse	enk
Yonge, Charlotte M. (Charlotte Mary)	1900.0	Love and life	enk
Jerome, Jerome K. (Jerome Klapka)	1900.0	Idle ideas in 1905	enk
Griffin, Gerald	1900.0	The collegians : or, The colleen bawn, a tale of Garryowen	enk
Cowie, Bessie	1900.0	One of Australia's daughters	enk
Croker, B. M. (Bithia Mary)	1900.0	Her own people	enk
Croker, B. M. (Bithia Mary)	1900.0	In old madras	enk
Croker, B. M. (Bithia Mary)	1900.0	Odds and ends	enk
Dick, Charlotte Isabel	1900.0	Huon belle : a novel	enk
Groser, Thomas Sidney	1900.0	"The dream flower : a descriptive Australian novel with an attractive ""native"" background"	enk
Gwynne, Agnes M	1900.0	An emergency husband	enk
	1900.0	The Mystery of Woodcroft	enk
Merrick, Leonard	1900.0	The call from the past : and other stories	enk
Stables, Gordon	1900.0	Kidnapped by cannibals	enk
Goethe, Johann Wolfgang von	1900.0	William Meister's travels.  The recreations of the German emigrants	enk
Goethe, Johann Wolfgang von	1900.0	Letters from Switzerland.  Letters from Italy	enk
	1900.0	Chambers's new reciter	enk
Hogg, James	1900.0	The tales of James Hogg	enk
Jacobs, W. W. (William Wymark)	1900.0	Ship's company	enk
Ackworth, John	1900.0	The minder;	enk
Pickthall, Marmaduke William	1900.0	All fools;	enk
Bloundelle-Burton, John Edward	1900.0	The seafarers	enk
Hewlett, Maurice Henry	1900.0	The life and death of Richard Yea-and-Nay	enk
Grant, James	1900.0	The yellow frigate : or, The three sisters	enk
	1900.0	Where's master?	enk
Stables, Gordon	1900.0	Jungle, peak, and plain : a boy's book of adventure	enk
Neufeld, Charles	1900.0	Under the rebel's reign : a story of Egyptian revolt	enk
Riddell, J. H., Mrs	1900.0	Joy after sorrow	enk
Whyte-Melville, G. J. (George John)	1900.0	Uncle John : a novel	enk
Du Chaillu, Paul B. (Paul Belloni)	1900.0	The world of the great forest	enk
Sterling, Sara Hawks	1900.0	Robin Hood and his merry men	enk
Gibbs, Philip	1900.0	The reckless lady; a novel	enk
	1900.0	For fame and fortune	enk
Caddick, Helen	1900.0	A white woman in central Africa	enk
Hicks, Beatrice M	1900.0	The Cape as I found it	enk
Henty, G. A. (George Alfred)	1900.0	For name and fame; or, To Cabul with Roberts	enk
Freeman, Mary Eleanor (Wilkins), Mrs	1900.0	The Love of Parson Lord and other stories	enk
Ayr, Landis	1900.0	A priest and a woman	enk
Everett-Green, Evelyn	1900.0	The heir of Hascombe hall; a tale of the days of the early Tudors	enk
Crawford, J. H	1900.0	The autobiography of a tramp	enk
Cobb, Thomas	1900.0	Severance : a novel	enk
Dickens, Charles	1900.0	The Holly Tree & The seven poor travellers	enk
Dawson, W. J. (William James)	1900.0	The doctor speaks : being some episodes in the experiences of John Selkirk, M. D	enk
Flowerdew, Herbert	1900.0	The realist : a modern romance	enk
Garstin, Norman	1900.0	The suitors of Aprille	enk
